img_link,image_page_number,booklet_name,booklet_link,img_name,,offers_Box_dim,old_costs_dim,new_costs_dim,offers_name_arabic_dim,offers_name_english_dim,quantity_dim
https://www.alsoouq.com//uploads/2022/06/5343838078.jpg,1,عروض بنده الأسبوعية تسري حتى 28 يونيو 2022 الموافق 29 ذو القعدة 1443 عروض التذكير باليوم الأخير,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-28-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84.html,5343838078.jpg,,,,,,,
https://www.alsoouq.com//uploads/2022/06/436824324.jpg,1,عروض بنده الأسبوعية تسري حتى 28 يونيو 2022 الموافق 29 ذو القعدة 1443 عروض التذكير باليوم الأخير,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-28-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84.html,436824324.jpg,,,,,,,
https://www.alsoouq.com//uploads/2022/06/4913293079.jpg,1,عروض بنده الأسبوعية تسري حتى 28 يونيو 2022 الموافق 29 ذو القعدة 1443 عروض التذكير باليوم الأخير,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-28-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84.html,4913293079.jpg,,,,,,,
https://www.alsoouq.com//uploads/2022/06/3401225409.jpg,1,عروض بنده الأسبوعية تسري حتى 28 يونيو 2022 الموافق 29 ذو القعدة 1443 عروض التذكير باليوم الأخير,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-28-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84.html,3401225409.jpg,,,,,,,
https://www.alsoouq.com//uploads/2022/06/3638357823.jpg,2,عروض بنده الأسبوعية تسري حتى 28 يونيو 2022 الموافق 29 ذو القعدة 1443 عروض التذكير باليوم الأخير,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-28-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84.html,3638357823.jpg,,,,,,,
https://www.alsoouq.com//uploads/2022/06/2158334648.jpg,2,عروض بنده الأسبوعية تسري حتى 28 يونيو 2022 الموافق 29 ذو القعدة 1443 عروض التذكير باليوم الأخير,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-28-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84.html,2158334648.jpg,,,,,,,
https://www.alsoouq.com//uploads/2022/06/2567563176.jpg,2,عروض بنده الأسبوعية تسري حتى 28 يونيو 2022 الموافق 29 ذو القعدة 1443 عروض التذكير باليوم الأخير,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-28-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84.html,2567563176.jpg,,,,,,,
https://www.alsoouq.com//uploads/2022/06/5581164205.jpg,2,عروض بنده الأسبوعية تسري حتى 28 يونيو 2022 الموافق 29 ذو القعدة 1443 عروض التذكير باليوم الأخير,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-28-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84.html,5581164205.jpg,,,,,,,
https://www.alsoouq.com//uploads/2022/06/5095860185.jpg,3,عروض بنده الأسبوعية تسري حتى 28 يونيو 2022 الموافق 29 ذو القعدة 1443 عروض التذكير باليوم الأخير,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-28-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84.html,5095860185.jpg,,,,,,,
https://www.alsoouq.com//uploads/2022/06/8251310764.jpg,3,عروض بنده الأسبوعية تسري حتى 28 يونيو 2022 الموافق 29 ذو القعدة 1443 عروض التذكير باليوم الأخير,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-28-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84.html,8251310764.jpg,,,,,,,
